Timestamp,Raw_value_MQ135,ACETONA,TOLUENO,ETANOL,CO2,NH4,CO
1667906097,8975.333,316.9334,44.18863,199.3692,399.3958,95.92421,1.006941
1667906117,8932.667,324.4559,43.91899,196.0789,397.1502,96.33478,1.029865
1667906138,8932.667,322.5078,42.83776,198.6752,409.1367,98.4194,0.9986192
1667906159,8863.333,319.5057,43.55509,193.5279,419.6618,97.52034,1.001317
1667906179,8842.0,319.5369,45.04752,194.7705,404.5166,96.20174,0.9815964
1667906200,8884.667,308.1593,43.91938,197.8594,414.3178,97.18817,1.004346
1667906221,8876.667,324.8968,43.55905,202.2792,405.5879,96.91613,1.009899
1667906242,8786.0,318.9995,43.91385,200.7557,402.3167,98.12504,1.007303
