Timestamp,Raw_value_MQ135,ACETONA,TOLUENO,ETANOL,CO2,NH4,CO
1667838828,8177.0,319.8366,44.02963,198.5551,407.57,97.01048,1.009238
1667838848,8177.0,319.0722,44.23631,198.5398,410.5369,98.74471,1.0
1667838869,8188.167,321.8658,44.49154,198.7735,405.787,97.02294,1.012192
1667838890,8372.667,319.4725,43.24606,197.3804,407.9449,96.48256,0.9851203
1667838911,8177.0,319.0126,43.74778,196.6331,408.4881,96.82574,1.038488
1667838931,8179.833,321.1171,44.03479,197.8157,402.6122,96.01724,0.9969224
1667838952,8196.333,322.6774,43.79908,200.1667,408.4425,94.83823,1.000129
1667838973,8196.5,322.2662,44.09403,197.831,405.0477,97.10001,1.00449
1667838994,8196.5,321.8902,43.75966,197.6021,410.8159,95.91134,1.006194
1667839014,27840.67,321.7173,44.81531,204.0021,417.3075,98.42207,1.042374
1667839035,11308.67,326.9363,43.34623,200.0411,410.485,98.24162,1.006924
1667839056,19812.0,315.0945,43.30647,200.1429,412.419,96.55199,1.016506
1667839077,8468.667,320.2849,44.35943,205.0589,404.3232,94.21828,1.029728
1667839097,26232.67,353.4982,48.1466,198.1706,389.2313,100.4241,0.9438379
1667839118,14659.0,320.0443,44.7028,200.2642,406.5235,98.94113,0.9990427
